ID	pvalue
GO:0002181	2.3413017454252e-52
GO:0006412	2.99269523951197e-19
GO:0043043	2.79598605083658e-18
GO:1903047	1.40457110928845e-13
GO:0022613	1.08549639714129e-10
GO:0044770	7.66681847749049e-10
GO:0042254	9.52281141864805e-10
GO:1901988	1.2893612598209e-09
GO:0010948	1.41465416737893e-09
GO:0097193	1.79967302490357e-09
GO:0044774	3.198676084701e-09
GO:0006261	9.25159612905239e-09
GO:0045786	9.76266897704163e-09
GO:1901991	1.02323857370686e-08
GO:0010564	1.0576716960803e-08
GO:0000075	1.23369268956104e-08
GO:0031570	1.38334703097949e-08
GO:0042770	1.61610473525483e-08
GO:0044773	1.63847280362422e-08
GO:0044772	1.74389921501421e-08
GO:0000077	1.76702198746544e-08
GO:0042255	1.92861339917023e-08
GO:1901987	2.11374984415377e-08
GO:0007093	2.16314371403877e-08
GO:0042274	7.40771166893025e-08
GO:0072331	7.55275552291086e-08
GO:0000079	8.26856311205189e-08
GO:0006260	9.38769953890773e-08
GO:0051338	1.10003347729882e-07
GO:0045930	1.76689819963398e-07
GO:0007346	1.86780914656474e-07
GO:1904029	2.06448969747294e-07
GO:0097190	5.13668571300094e-07
GO:0071103	8.60239770309744e-07
GO:0071826	8.90146631140583e-07
GO:0042273	9.87130083351102e-07
GO:0044786	1.09908409356156e-06
GO:0045787	1.27613656594639e-06
GO:0044818	1.30045294338613e-06
GO:1902750	1.48611505558108e-06
GO:0022618	1.53538252093437e-06
GO:0007095	1.79307191355007e-06
GO:0051276	1.93731684867109e-06
GO:1902969	2.36729961394709e-06
GO:0010972	2.43712472714823e-06
GO:0007005	2.57942553489723e-06
GO:1901990	2.81060865053683e-06
GO:0140694	5.15547948838239e-06
GO:1902749	5.91169061394822e-06
GO:0033260	6.15721471928107e-06
GO:0044839	6.36646291103134e-06
GO:0006268	7.79781659299822e-06
GO:1901798	1.04189820003685e-05
GO:0015931	1.06568516379561e-05
GO:0006271	1.2513756244753e-05
GO:0072332	1.27318076590755e-05
GO:0008630	1.62135809251725e-05
GO:0000070	1.8046734771681e-05
GO:0009615	1.86471195045889e-05
GO:0000028	1.94170546566032e-05
GO:0032392	2.01631973677241e-05
GO:0045087	2.17610612656202e-05
GO:0042771	2.55640670616651e-05
GO:0071900	2.84466783059141e-05
GO:0060841	3.04508395615012e-05
GO:2001244	3.35367219992638e-05
GO:0016072	3.55331531474987e-05
GO:0045859	4.03385315632881e-05
GO:0043549	4.05894406733612e-05
GO:2001242	4.09408677751846e-05
GO:0032508	5.30885163201997e-05
GO:0000086	5.63082064940546e-05
GO:1990823	6.06771326593373e-05
GO:0006364	6.16660041451254e-05
GO:0032728	6.89637454497386e-05
GO:1902850	7.00769953418156e-05
GO:0051607	8.9054387790407e-05
GO:0140546	9.79725748982576e-05
GO:0002831	9.97071244507726e-05
GO:0051304	0.000100616070315797
GO:0010389	0.00010479861233344
GO:0051301	0.000110477550210315
GO:1990830	0.000115614401437939
GO:0046653	0.000121945832328301
GO:0070434	0.0001316598764008
GO:0051438	0.000158187658661487
GO:0000727	0.000158669772990004
GO:0045333	0.00016148595316797
GO:0006417	0.000166725080846379
GO:0048845	0.000176866717401975
GO:0090068	0.000179289949016756
GO:2000765	0.000186579626398975
GO:0002833	0.000188866439667821
GO:0045931	0.000192046286092279
GO:0007062	0.000194279494043225
GO:0032608	0.000194279494043225
GO:0032648	0.000194279494043225
GO:0051236	0.000206871644496022
GO:1905818	0.000212755513547928
GO:0006270	0.000217382197577095
GO:0045088	0.000223187795758918
GO:0034250	0.000233714332944746
GO:0007052	0.000233841586741123
GO:0002218	0.000245716350070903
GO:0052372	0.000247780665903565
GO:0000819	0.000249684726693312
GO:0031952	0.000294559792683318
GO:0140014	0.000296724921732003
GO:0050657	0.000308780444393115
GO:0050658	0.000308780444393115
GO:0006119	0.00031092578114258
GO:0043903	0.000319032430164834
GO:0043068	0.000341459394836143
GO:0000027	0.000348626896362881
GO:0019883	0.000348626896362881
GO:0022904	0.000350779966731007
GO:0045727	0.000356830381042936
GO:0043065	0.000364136094825735
GO:0007059	0.000368227400300422
GO:0031347	0.000369690242397592
GO:0070432	0.000397284340418286
GO:0070426	0.00041512914460491
GO:0000002	0.000433068729706445
GO:0071897	0.000447088922562711
GO:0001944	0.000475170277439231
GO:0031400	0.000488695460151055
GO:0045089	0.000540856242591173
GO:2000767	0.000552934998896108
GO:0019885	0.00056771150894693
GO:1904666	0.00059524117419199
GO:0009060	0.000598406335549375
GO:1901989	0.000599305631625798
GO:0006413	0.000614557990521151
GO:0051099	0.000615834442499687
GO:0000082	0.000681110851682447
GO:2001235	0.000691339444620825
GO:0034248	0.00070309318326493
